Year,Distance,Stroke,Sex,Nationality,Athlete,Time,Rank,Event,Source,Time_sec,Nationality_full
2016,100m,Breaststroke,Women,CHN,Jinglin Shi,00:01:06.370000,4,100m Breaststroke,Olympic,66.37,China
2016,100m,Breaststroke,Women,CAN,Rachel Nicol,00:01:06.680000,4,100m Breaststroke,Olympic,66.68,Canada
2016,100m,Breaststroke,Women,ISL,Hrafnhildur Luthersdottir,00:01:07.180000,4,100m Breaststroke,Olympic,67.18,Iceland
2016,100m,Breaststroke,Women,LTU,Ruta Meilutyte,00:01:07.320000,4,100m Breaststroke,Olympic,67.32,Lithuania
2016,100m,Breaststroke,Women,JAM,Alia Atkinson,00:01:08.100000,4,100m Breaststroke,Olympic,68.1,Jamaica
2016,100m,Butterfly,Men,SGP,Joseph Schooling,50.390,1,100m Butterfly,Olympic,50.39,Singapore
2016,100m,Butterfly,Men,USA,Michael Phelps,51.140,2,100m Butterfly,Olympic,51.14,United States
2016,100m,Butterfly,Men,RSA,Chad Le Clos,51.140,2,100m Butterfly,Olympic,51.14,RSA
2016,100m,Butterfly,Men,HUN,Laszlo Cseh,51.140,2,100m Butterfly,Olympic,51.14,Hungary
2016,100m,Butterfly,Men,CHN,Zhuhao Li,51.260,4,100m Butterfly,Olympic,51.26,China
2016,100m,Butterfly,Men,FRA,Mehdy Metella,51.580,4,100m Butterfly,Olympic,51.58,France
2016,100m,Butterfly,Men,USA,Tom Shields,51.730,4,100m Butterfly,Olympic,51.73,United States
2016,100m,Butterfly,Men,RUS,Aleksandr Sadovnikov,51.840,4,100m Butterfly,Olympic,51.84,Russian Federation
2016,100m,Butterfly,Women,SWE,Sarah Sjostrom,55.480,2,100m Butterfly,Olympic,55.48,Sweden
2016,100m,Butterfly,Women,CAN,Penny Oleksiak,56.460,3,100m Butterfly,Olympic,56.46,Canada
2016,100m,Butterfly,Women,USA,Dana Vollmer,56.630,4,100m Butterfly,Olympic,56.63,United States
2016,100m,Butterfly,Women,CHN,Ying Lu,56.760,4,100m Butterfly,Olympic,56.76,China
2016,100m,Butterfly,Women,JPN,Rikako Ikee,56.860,4,100m Butterfly,Olympic,56.86,Japan
2016,100m,Butterfly,Women,AUS,Emma Mckeon,57.050,4,100m Butterfly,Olympic,57.05,Australia
2016,100m,Butterfly,Women,DEN,Jeanette Ottesen,57.170,4,100m Butterfly,Olympic,57.17,DEN
2016,100m,Freestyle,Men,AUS,Kyle Chalmers,47.580,1,100m Freestyle,Olympic,47.58,Australia
2016,100m,Freestyle,Men,BEL,Pieter Timmers,47.800,2,100m Freestyle,Olympic,47.8,Belgium
2016,100m,Freestyle,Men,USA,Nathan Adrian,47.850,3,100m Freestyle,Olympic,47.85,United States
2016,100m,Freestyle,Men,CAN,Santo Condorelli,47.880,4,100m Freestyle,Olympic,47.88,Canada
2016,100m,Freestyle,Men,GBR,Duncan Scott,48.010,4,100m Freestyle,Olympic,48.01,United Kingdom
2016,100m,Freestyle,Men,USA,Caeleb Dressel,48.020,4,100m Freestyle,Olympic,48.02,United States
2016,100m,Freestyle,Men,AUS,Cameron Mcevoy,48.120,4,100m Freestyle,Olympic,48.12,Australia
2016,100m,Freestyle,Men,BRA,Marcelo Chierighini,48.410,4,100m Freestyle,Olympic,48.41,Brazil
2016,100m,Freestyle,Women,USA,Simone Manuel,52.700,1,100m Freestyle,Olympic,52.7,United States
2016,100m,Freestyle,Women,CAN,Penny Oleksiak,52.700,1,100m Freestyle,Olympic,52.7,Canada
2016,100m,Freestyle,Women,SWE,Sarah Sjostrom,52.990,3,100m Freestyle,Olympic,52.99,Sweden
2016,100m,Freestyle,Women,AUS,Bronte Campbell,53.040,4,100m Freestyle,Olympic,53.04,Australia
2016,100m,Freestyle,Women,NED,Ranomi Kromowidjojo,53.080,4,100m Freestyle,Olympic,53.08,NED
2016,100m,Freestyle,Women,AUS,Cate Campbell,53.240,4,100m Freestyle,Olympic,53.24,Australia
2016,100m,Freestyle,Women,USA,Abbey Weitzeil,53.300,4,100m Freestyle,Olympic,53.3,United States
2016,100m,Freestyle,Women,DEN,Jeanette Ottesen,53.360,4,100m Freestyle,Olympic,53.36,DEN
2016,1500m,Freestyle,Men,ITA,Gregorio Paltrinieri,00:14:34.570000,1,1500m Freestyle,Olympic,874.57,Italy
2016,1500m,Freestyle,Men,USA,Connor Jaeger,00:14:39.480000,2,1500m Freestyle,Olympic,879.48,United States
2016,1500m,Freestyle,Men,ITA,Gabriele Detti,00:14:40.860000,3,1500m Freestyle,Olympic,880.86,Italy
2016,1500m,Freestyle,Men,USA,Jordan Wilimovsky,00:14:45.030000,4,1500m Freestyle,Olympic,885.03,United States
2016,1500m,Freestyle,Men,AUS,Mack Horton,00:14:49.540000,4,1500m Freestyle,Olympic,889.54,Australia
2016,1500m,Freestyle,Men,CAN,Ryan Cochrane,00:14:49.610000,4,1500m Freestyle,Olympic,889.61,Canada
2016,1500m,Freestyle,Men,FRA,Damien Joly,00:14:52.730000,4,1500m Freestyle,Olympic,892.73,France
2016,1500m,Freestyle,Men,NOR,Henrik Christiansen,00:15:02.660000,4,1500m Freestyle,Olympic,902.66,Norway
2016,200m,Backstroke,Men,USA,Ryan Murphy,00:01:53.620000,1,200m Backstroke,Olympic,113.62,United States
2016,200m,Backstroke,Men,AUS,Mitchell Larkin,00:01:53.960000,2,200m Backstroke,Olympic,113.96000000000001,Australia
2016,200m,Backstroke,Men,RUS,Evgeny Rylov,00:01:53.970000,3,200m Backstroke,Olympic,113.97,Russian Federation
2016,200m,Backstroke,Men,CHN,Jiayu Xu,00:01:55.160000,4,200m Backstroke,Olympic,115.16,China
2016,200m,Backstroke,Men,USA,Jacob Pebley,00:01:55.520000,4,200m Backstroke,Olympic,115.52000000000001,United States
2016,200m,Backstroke,Men,CHN,Guangyuan Li,00:01:55.890000,4,200m Backstroke,Olympic,115.89,China
2016,200m,Backstroke,Men,GER,Christian Diener,00:01:56.270000,4,200m Backstroke,Olympic,116.27000000000001,GER
2016,200m,Backstroke,Men,JPN,Ryosuke Irie,00:01:56.360000,4,200m Backstroke,Olympic,116.36,Japan
2016,200m,Backstroke,Women,USA,Madeline Dirado,00:02:05.990000,1,200m Backstroke,Olympic,125.99,United States
2016,200m,Backstroke,Women,HUN,Katinka Hosszu,00:02:06.050000,2,200m Backstroke,Olympic,126.05,Hungary
2016,200m,Backstroke,Women,CAN,Hilary Caldwell,00:02:07.540000,3,200m Backstroke,Olympic,127.54,Canada
2016,200m,Backstroke,Women,RUS,Daria Ustinova,00:02:07.890000,4,200m Backstroke,Olympic,127.89,Russian Federation
2016,200m,Backstroke,Women,AUS,Belinda Hocking,00:02:08.020000,4,200m Backstroke,Olympic,128.02,Australia
2016,200m,Backstroke,Women,ZIM,Kirsty Leigh Coventry,00:02:08.800000,4,200m Backstroke,Olympic,128.8,ZIM
2016,200m,Backstroke,Women,CHN,Yaxin Liu,00:02:09.030000,4,200m Backstroke,Olympic,129.03,China
2016,200m,Backstroke,Women,ISL,Eyglo Gustafsdottir,00:02:09.440000,4,200m Backstroke,Olympic,129.44,Iceland
2016,200m,Breaststroke,Men,KAZ,Dmitriy Balandin,00:02:07.460000,1,200m Breaststroke,Olympic,127.46,Kazakhstan
2016,200m,Breaststroke,Men,USA,Josh Prenot,00:02:07.530000,2,200m Breaststroke,Olympic,127.53,United States
2016,200m,Breaststroke,Men,RUS,Anton Chupkov,00:02:07.700000,3,200m Breaststroke,Olympic,127.7,Russian Federation
2016,200m,Breaststroke,Men,GBR,Andrew Willis,00:02:07.780000,4,200m Breaststroke,Olympic,127.78,United Kingdom
2016,200m,Breaststroke,Men,JPN,Yasuhiro Koseki,00:02:07.800000,4,200m Breaststroke,Olympic,127.8,Japan
2016,200m,Breaststroke,Men,JPN,Ippei Watanabe,00:02:07.870000,4,200m Breaststroke,Olympic,127.87,Japan
2016,200m,Breaststroke,Men,GER,Marco Koch,00:02:08.000000,4,200m Breaststroke,Olympic,128.0,GER
2016,200m,Breaststroke,Men,USA,Kevin Cordes,00:02:08.340000,4,200m Breaststroke,Olympic,128.34,United States
2016,200m,Butterfly,Men,USA,Michael Phelps,00:01:53.360000,1,200m Butterfly,Olympic,113.36,United States
2016,200m,Butterfly,Men,JPN,Masato Sakai,00:01:53.400000,2,200m Butterfly,Olympic,113.4,Japan
2016,200m,Butterfly,Men,HUN,Tamas Kenderesi,00:01:53.620000,3,200m Butterfly,Olympic,113.62,Hungary
2016,200m,Butterfly,Men,RSA,Chad Le Clos,00:01:54.060000,4,200m Butterfly,Olympic,114.06,RSA
2016,200m,Butterfly,Men,JPN,Daiya Seto,00:01:54.820000,4,200m Butterfly,Olympic,114.82,Japan
2016,200m,Butterfly,Men,DEN,Viktor Bromer,00:01:55.640000,4,200m Butterfly,Olympic,115.64,DEN
2016,200m,Butterfly,Men,HUN,Laszlo Cseh,00:01:56.240000,4,200m Butterfly,Olympic,116.24000000000001,Hungary
2016,200m,Butterfly,Men,BEL,Louis Croenen,00:01:57.040000,4,200m Butterfly,Olympic,117.03999999999999,Belgium
2016,200m,Butterfly,Women,ESP,Mireia Belmonte,00:02:04.850000,1,200m Butterfly,Olympic,124.85,Spain
2016,200m,Butterfly,Women,AUS,Madeline Groves,00:02:04.880000,2,200m Butterfly,Olympic,124.88,Australia
2016,200m,Butterfly,Women,JPN,Natsumi Hoshi,00:02:05.200000,3,200m Butterfly,Olympic,125.2,Japan
2016,200m,Butterfly,Women,USA,Cammile Adams,00:02:05.900000,4,200m Butterfly,Olympic,125.9,United States
2016,200m,Butterfly,Women,CHN,Yilin Zhou,00:02:07.370000,4,200m Butterfly,Olympic,127.37,China
2016,200m,Butterfly,Women,CHN,Yufei Zhang,00:02:07.400000,4,200m Butterfly,Olympic,127.4,China
2016,200m,Butterfly,Women,USA,Hali Flickinger,00:02:07.710000,4,200m Butterfly,Olympic,127.71,United States
2016,200m,Butterfly,Women,AUS,Brianna Throssell,00:02:07.870000,4,200m Butterfly,Olympic,127.87,Australia
2016,200m,Freestyle,Men,CHN,Yang Sun,00:01:44.650000,1,200m Freestyle,Olympic,104.65,China
2016,200m,Freestyle,Men,RSA,Chad Le Clos,00:01:45.200000,2,200m Freestyle,Olympic,105.2,RSA
2016,200m,Freestyle,Men,USA,Conor Dwyer,00:01:45.230000,3,200m Freestyle,Olympic,105.22999999999999,United States
2016,200m,Freestyle,Men,GBR,James Guy,00:01:45.490000,4,200m Freestyle,Olympic,105.49000000000001,United Kingdom
2016,200m,Freestyle,Men,USA,Townley Haas,00:01:45.580000,4,200m Freestyle,Olympic,105.58,United States
2016,200m,Freestyle,Men,GER,Paul Biedermann,00:01:45.840000,4,200m Freestyle,Olympic,105.84,GER
2016,200m,Freestyle,Men,JPN,Kosuke Hagino,00:01:45.900000,4,200m Freestyle,Olympic,105.9,Japan
2016,200m,Freestyle,Men,RUS,Aleksandr Krasnykh,00:01:45.910000,4,200m Freestyle,Olympic,105.91,Russian Federation
2016,200m,Freestyle,Women,USA,Katie Ledecky,00:01:53.730000,1,200m Freestyle,Olympic,113.72999999999999,United States
2016,200m,Freestyle,Women,SWE,Sarah Sjostrom,00:01:54.080000,2,200m Freestyle,Olympic,114.08,Sweden
2016,200m,Freestyle,Women,AUS,Emma Mckeon,00:01:54.920000,3,200m Freestyle,Olympic,114.92,Australia
2016,200m,Freestyle,Women,ITA,Federica Pellegrini,00:01:55.180000,4,200m Freestyle,Olympic,115.18,Italy
2016,200m,Freestyle,Women,CHN,Duo Shen,00:01:55.250000,4,200m Freestyle,Olympic,115.25,China
2016,200m,Freestyle,Women,AUS,Bronte Barratt,00:01:55.250000,4,200m Freestyle,Olympic,115.25,Australia
2016,200m,Freestyle,Women,SWE,Michelle Coleman,00:01:56.270000,4,200m Freestyle,Olympic,116.27000000000001,Sweden
2016,200m,Freestyle,Women,FRA,Charlotte Bonnet,00:01:56.290000,4,200m Freestyle,Olympic,116.28999999999999,France
2016,200m,Individual medley,Men,USA,Michael Phelps,00:01:54.660000,1,200m Individual medley,Olympic,114.66,United States
2016,200m,Individual medley,Men,JPN,Kosuke Hagino,00:01:56.610000,2,200m Individual medley,Olympic,116.61,Japan
2016,200m,Individual medley,Men,CHN,Shun Wang,00:01:57.050000,3,200m Individual medley,Olympic,117.05,China
2016,200m,Individual medley,Men,JPN,Hiromasa Fujimori,00:01:57.210000,4,200m Individual medley,Olympic,117.21000000000001,Japan
2016,200m,Individual medley,Men,USA,Ryan Lochte,00:01:57.470000,4,200m Individual medley,Olympic,117.47,United States
2016,200m,Individual medley,Men,GER,Philip Heintz,00:01:57.480000,4,200m Individual medley,Olympic,117.47999999999999,GER
2016,200m,Individual medley,Men,BRA,Thiago Pereira,00:01:58.020000,4,200m Individual medley,Olympic,118.02000000000001,Brazil
2016,200m,Individual medley,Men,GBR,Dan Wallace,00:01:58.540000,4,200m Individual medley,Olympic,118.53999999999999,United Kingdom
2016,200m,Individual medley,Women,HUN,Katinka Hosszu,00:02:06.580000,1,200m Individual medley,Olympic,126.58,Hungary
2016,200m,Individual medley,Women,GBR,Siobhan-Marie Oconnor,00:02:06.880000,2,200m Individual medley,Olympic,126.88,United Kingdom
2016,200m,Individual medley,Women,USA,Madeline Dirado,00:02:08.790000,3,200m Individual medley,Olympic,128.79,United States
2016,200m,Individual medley,Women,USA,Melanie Margalis,00:02:09.210000,4,200m Individual medley,Olympic,129.21,United States
2016,200m,Individual medley,Women,AUS,Alicia Coutts,00:02:10.880000,4,200m Individual medley,Olympic,130.88,Australia
2016,200m,Individual medley,Women,CAN,Sydney Pickrem,00:02:11.220000,4,200m Individual medley,Olympic,131.22,Canada
2016,200m,Individual medley,Women,RUS,Viktoriya Andreyeva,00:02:12.280000,4,200m Individual medley,Olympic,132.28,Russian Federation
2016,200m,Individual medley,Women,CHN,Shiwen Ye,00:02:13.560000,4,200m Individual medley,Olympic,133.56,China
2016,400m,Freestyle,Men,AUS,Mack Horton,00:03:41.550000,1,400m Freestyle,Olympic,221.55,Australia
2016,400m,Freestyle,Men,CHN,Yang Sun,00:03:41.680000,2,400m Freestyle,Olympic,221.68,China
2016,400m,Freestyle,Men,ITA,Gabriele Detti,00:03:43.490000,3,400m Freestyle,Olympic,223.49,Italy
2016,400m,Freestyle,Men,USA,Conor Dwyer,00:03:44.010000,4,400m Freestyle,Olympic,224.01,United States
2016,400m,Freestyle,Men,USA,Connor Jaeger,00:03:44.160000,4,400m Freestyle,Olympic,224.16,United States
2016,400m,Freestyle,Men,GBR,James Guy,00:03:44.680000,4,400m Freestyle,Olympic,224.68,United Kingdom
2016,400m,Freestyle,Men,AUS,David Mckeon,00:03:45.280000,4,400m Freestyle,Olympic,225.28,Australia
2016,400m,Freestyle,Men,FRA,Jordan Pothain,00:03:49.070000,4,400m Freestyle,Olympic,229.07,France
2016,400m,Freestyle,Women,USA,Katie Ledecky,00:03:56.460000,1,400m Freestyle,Olympic,236.46,United States
2016,400m,Freestyle,Women,GBR,Jazz Carlin,00:04:01.230000,2,400m Freestyle,Olympic,241.23,United Kingdom
2016,400m,Freestyle,Women,USA,Leah Smith,00:04:01.920000,3,400m Freestyle,Olympic,241.92,United States
2016,400m,Freestyle,Women,HUN,Boglarka Kapas,00:04:02.370000,4,400m Freestyle,Olympic,242.37,Hungary
2016,400m,Freestyle,Women,CAN,Brittany Maclean,00:04:04.690000,4,400m Freestyle,Olympic,244.69,Canada
2016,400m,Freestyle,Women,AUS,Tamsin Cook,00:04:05.300000,4,400m Freestyle,Olympic,245.3,Australia
2016,400m,Freestyle,Women,AUS,Jessica Ashwood,00:04:05.680000,4,400m Freestyle,Olympic,245.68,Australia
2016,400m,Freestyle,Women,FRA,Coralie Balmy,00:04:06.980000,4,400m Freestyle,Olympic,246.98,France
2016,400m,Individual medley,Men,JPN,Kosuke Hagino,00:04:06.050000,1,400m Individual medley,Olympic,246.05,Japan
2016,400m,Individual medley,Men,USA,Chase Kalisz,00:04:06.750000,2,400m Individual medley,Olympic,246.75,United States
2016,400m,Individual medley,Men,JPN,Daiya Seto,00:04:09.710000,3,400m Individual medley,Olympic,249.71,Japan
2016,400m,Individual medley,Men,GBR,Max Litchfield,00:04:11.620000,4,400m Individual medley,Olympic,251.62,United Kingdom
2016,400m,Individual medley,Men,USA,Jay Litherland,00:04:11.680000,4,400m Individual medley,Olympic,251.68,United States
2016,400m,Individual medley,Men,AUS,Thomas Fraser-Holmes,00:04:11.900000,4,400m Individual medley,Olympic,251.9,Australia
2016,400m,Individual medley,Men,AUS,Travis Mahoney,00:04:15.480000,4,400m Individual medley,Olympic,255.48,Australia
2016,400m,Individual medley,Men,ESP,Joan Lluis Pons Ramon,00:04:16.580000,4,400m Individual medley,Olympic,256.58,Spain
2016,400m,Individual medley,Women,HUN,Katinka Hosszu,00:04:26.360000,1,400m Individual medley,Olympic,266.36,Hungary
2016,400m,Individual medley,Women,USA,Madeline Dirado,00:04:31.150000,2,400m Individual medley,Olympic,271.15,United States
2016,400m,Individual medley,Women,ESP,Mireia Belmonte,00:04:32.390000,3,400m Individual medley,Olympic,272.39,Spain
2016,400m,Individual medley,Women,GBR,Hannah Miley,00:04:32.540000,4,400m Individual medley,Olympic,272.54,United Kingdom
2016,400m,Individual medley,Women,CAN,Emily Overholt,00:04:34.700000,4,400m Individual medley,Olympic,274.7,Canada
2016,400m,Individual medley,Women,USA,Elizabeth Beisel,00:04:34.980000,4,400m Individual medley,Olympic,274.98,United States
2016,400m,Individual medley,Women,GBR,Aimee Willmott,00:04:35.040000,4,400m Individual medley,Olympic,275.04,United Kingdom
2016,400m,Individual medley,Women,JPN,Sakiko Shimizu,00:04:38.060000,4,400m Individual medley,Olympic,278.06,Japan
2016,4x100m,Freestyle,Men,USA,"Ryan Held, Anthony Ervin, Michael Phelps, James Feigen, Nathan Adrian, Caeleb Dressel, Blake Pieroni",00:03:09.920000,1,4x100m Freestyle,Olympic,189.92,United States
2016,4x100m,Freestyle,Men,FRA,"William Meynard, Jeremy Stravius, Fabien Gilot, Mehdy Metella, Florent Manaudou, Clement Mignon",00:03:10.530000,2,4x100m Freestyle,Olympic,190.53,France
2016,4x100m,Freestyle,Men,AUS,"Cameron Mcevoy, Kyle Chalmers, Matthew Abood, James Magnussen, James Roberts",00:03:11.370000,3,4x100m Freestyle,Olympic,191.37,Australia
2016,4x100m,Freestyle,Men,RUS,"Aleksandr Popkov, Andrey Grechin, Danila Izotov, Alexander Sukhorukov, Vladimir Morozov",00:03:11.640000,4,4x100m Freestyle,Olympic,191.64,Russian Federation
2016,4x100m,Freestyle,Men,BRA,"Joao De Lucca, Marcelo Chierighini, Gabriel Da Silva Santos, Matheus Santana, Nicolas Nilo",00:03:13.210000,4,4x100m Freestyle,Olympic,193.21,Brazil
2016,4x100m,Freestyle,Men,BEL,"Dieter Dekoninck, Pieter Timmers, Jasper Aerents, Emmanuel Vanluchene, Glenn Surgeloose",00:03:13.570000,4,4x100m Freestyle,Olympic,193.57,Belgium
2016,4x100m,Freestyle,Men,CAN,"Markus Thormeyer, Yuri Kisil, Santo Condorelli, Evan Van Moerkerke",00:03:14.350000,4,4x100m Freestyle,Olympic,194.35,Canada
2016,4x100m,Freestyle,Men,JPN,"Junya Koga, Shinri Shioura, Katsumi Nakamura, Kenji Kobase",00:03:14.480000,4,4x100m Freestyle,Olympic,194.48,Japan
2016,4x100m,Freestyle,Women,AUS,"Emma Mckeon, Madison Wilson, Bronte Campbell, Brittany Elmslie, Cate Campbell",00:03:30.650000,1,4x100m Freestyle,Olympic,210.65,Australia
2016,4x100m,Freestyle,Women,USA,"Simone Manuel, Lia Neal, Dana Vollmer, Allison Schmitt, Amanda Weir, Katie Ledecky, Abbey Weitzeil",00:03:31.890000,2,4x100m Freestyle,Olympic,211.89,United States
2016,4x100m,Freestyle,Women,CAN,"Chantal Van Landeghem, Penny Oleksiak, Sandrine Mainville, Taylor Madison Ruck, Michelle Williams",00:03:32.890000,3,4x100m Freestyle,Olympic,212.89,Canada
2016,4x100m,Freestyle,Women,NZ,"Maud Van Der Meer, Ranomi Kromowidjojo, Marrit Steenbergen, Inge Dekker, Femke Heemskerk",00:03:33.810000,4,4x100m Freestyle,Olympic,213.81,NZ
2016,4x100m,Freestyle,Women,SWE,"Sarah Sjostrom, Michelle Coleman, Louise Hansson, Ida Lindborg, Ida Marko-Varga",00:03:35.900000,4,4x100m Freestyle,Olympic,215.9,Sweden
2016,4x100m,Freestyle,Women,NL,"Erika Ferraioli, Aglaia Pezzato, Federica Pellegrini, Silvia Di Pietro",00:03:36.780000,4,4x100m Freestyle,Olympic,216.78,NL
2016,4x100m,Freestyle,Women,FRA,"Mathilde Cini, Beryl Gastaldello, Anna Santamans, Charlotte Bonnet",00:03:37.450000,4,4x100m Freestyle,Olympic,217.45,France
2016,4x100m,Freestyle,Women,JPN,"Yayoi Matsumoto, Rikako Ikee, Miki Uchida, Misaki Yamaguchi",00:03:37.780000,4,4x100m Freestyle,Olympic,217.78,Japan
2016,4x100m,Medley,Men,USA,"Tom Shields, Cody Miller, Michael Phelps, Kevin Cordes, Ryan Murphy, David Plummer, Caeleb Dressel, Nathan Adrian",00:03:27.950000,2,4x100m Medley,Olympic,207.95,United States
2016,4x100m,Medley,Men,GBR,"Chris Walker-Hebborn, Duncan Scott, James Guy, Adam Peaty",00:03:29.240000,3,4x100m Medley,Olympic,209.24,United Kingdom
2016,4x100m,Medley,Men,AUS,"Cameron Mcevoy, David Morgan, Mitchell Larkin, Kyle Chalmers, Jake Packard",00:03:29.930000,4,4x100m Medley,Olympic,209.93,Australia
2016,4x100m,Medley,Men,RUS,"Aleksandr Sadovnikov, Anton Chupkov, Evgeny Koptelov, Vladimir Morozov, Grigory Tarasevich, Evgeny Rylov, Alexander Sukhorukov",00:03:31.300000,4,4x100m Medley,Olympic,211.3,Russian Federation
2016,4x100m,Medley,Men,JPN,"Yasuhiro Koseki, Katsumi Nakamura, Ryosuke Irie, Takuro Fujii",00:03:31.970000,4,4x100m Medley,Olympic,211.97,Japan
2016,4x100m,Medley,Men,BRA,"Marcelo Chierighini, Joao Gomes, Guilherme Guido, Henrique Martins, Felipe Franca",00:03:32.840000,4,4x100m Medley,Olympic,212.84,Brazil
2016,4x100m,Medley,Men,GER,"Steffen Deibler, Marco Koch, Damian Wierling, Christian Vom Lehn, Jan-Philip Glania",00:03:33.500000,4,4x100m Medley,Olympic,213.5,GER
2016,4x100m,Medley,Women,USA,"Kathleen Baker, Lilly King, Kelsi Worrell, Katie Meili, Dana Vollmer, Olivia Smoliga, Simone Manuel, Abbey Weitzeil",00:03:53.130000,1,4x100m Medley,Olympic,233.13,United States
2016,4x100m,Medley,Women,AUS,"Madison Wilson, Emily Seebohm, Taylor Mckeown, Emma Mckeon, Brittany Elmslie, Madeline Groves, Cate Campbell",00:03:55.000000,2,4x100m Medley,Olympic,235.0,Australia
2016,4x100m,Medley,Women,DEN,"Rikke Moller Pedersen, Mie Nielsen, Jeanette Ottesen, Pernille Blume",00:03:55.010000,3,4x100m Medley,Olympic,235.01,DEN
2016,4x100m,Medley,Women,CHN,,00:03:55.180000,4,4x100m Medley,Olympic,235.18,China
2016,4x100m,Medley,Women,CAN,,00:03:55.490000,4,4x100m Medley,Olympic,235.49,Canada
2016,4x100m,Medley,Women,RUS,,00:03:55.660000,4,4x100m Medley,Olympic,235.66,Russian Federation
2016,4x100m,Medley,Women,GBR,,00:03:56.960000,4,4x100m Medley,Olympic,236.96,United Kingdom
2016,4x100m,Medley,Women,ITA,"Ilaria Bianchi, Carlotta Zofkova, Federica Pellegrini, Arianna Castiglioni",00:03:59.500000,4,4x100m Medley,Olympic,239.5,Italy
2016,4x200m,Freestyle,Men,USA,"Gunnar Bentz, Townley Haas, Ryan Lochte, Jack Conger, Conor Dwyer, Michael Phelps, Clark Smith",00:07:00.660000,1,4x200m Freestyle,Olympic,420.66,United States
2016,4x200m,Freestyle,Men,GBR,"Dan Wallace, James Guy, Robbie Renwick, Stephen Milne, Duncan Scott",00:07:03.130000,2,4x200m Freestyle,Olympic,423.13,United Kingdom
2016,4x200m,Freestyle,Men,JPN,"Yuki Kobori, Naito Ehara, Takeshi Matsuda, Kosuke Hagino",00:07:03.500000,3,4x200m Freestyle,Olympic,423.5,Japan
2016,4x200m,Freestyle,Men,AUS,"Daniel Smith, Mack Horton, Thomas Fraser-Holmes, Jacob Hansford, David Mckeon",00:07:04.180000,4,4x200m Freestyle,Olympic,424.18,Australia
2016,4x200m,Freestyle,Men,RUS,"Aleksandr Krasnykh, Mikhail Dovgalyuk, Nikita Lobintsev, Viacheslav Andrusenko, Danila Izotov",00:07:05.700000,4,4x200m Freestyle,Olympic,425.7,Russian Federation
2016,4x200m,Freestyle,Men,GER,,00:07:07.280000,4,4x200m Freestyle,Olympic,427.28,GER
2016,4x200m,Freestyle,Men,NLD,"Maarten Brzoskowski, Ben Schwietert, Sebastiaan Verschuren, Kyle Stolk, Dion Dreesens",00:07:09.100000,4,4x200m Freestyle,Olympic,429.1,Netherlands
2016,4x200m,Freestyle,Men,BEL,"Dieter Dekoninck, Louis Croenen, Glenn Surgeloose, Emmanuel Vanluchene, Pieter Timmers",00:07:11.640000,4,4x200m Freestyle,Olympic,431.64,Belgium
